latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff
-23.19165087180595,-54.43656120821628,0.1245,0.0961,0.098,0.0862,0.1243,0.2642,0.3304,0.303,0.0426,0.0014,0.2883,0.1627,0.3569
-23.19165087180595,-54.43647133679734,0.1248,0.0973,0.0988,0.089,0.1246,0.2612,0.3233,0.3011,0.0426,0.0014,0.2909,0.1707,0.3434
-23.19165087180595,-54.4363814653784,0.1251,0.099,0.101,0.0992,0.129,0.2553,0.3125,0.2816,0.0425,0.0014,0.294,0.1769,0.3344
-23.19165087180595,-54.43629159395946,0.1254,0.0994,0.101,0.1074,0.1362,0.2482,0.3002,0.2669,0.0424,0.0014,0.2978,0.1821,0.3286
-23.19165087180595,-54.43620172254053,0.1256,0.0994,0.099,0.1059,0.141,0.2503,0.302,0.2787,0.0423,0.0014,0.3036,0.1874,0.3307
-23.19165087180595,-54.43611185112158,0.1259,0.0983,0.1015,0.0962,0.1437,0.2613,0.3175,0.3039,0.0423,0.0014,0.3113,0.1926,0.3407
-23.19165087180595,-54.43602197970264,0.1261,0.1032,0.1065,0.1112,0.1465,0.268,0.3261,0.3053,0.0422,0.0014,0.3178,0.1977,0.3473
-23.19165087180595,-54.4359321082837,0.1262,0.1046,0.1076,0.1131,0.1496,0.2686,0.3247,0.3057,0.0422,0.0015,0.3228,0.2028,0.3492
-23.19165087180595,-54.43584223686476,0.1264,0.1032,0.107,0.1127,0.1525,0.2678,0.3221,0.3028,0.0422,0.0015,0.3258,0.2072,0.349
-23.19165087180595,-54.435752365445815,0.1265,0.1044,0.1086,0.1181,0.1552,0.267,0.3204,0.3001,0.0422,0.0015,0.3261,0.2104,0.3465
-23.19165087180595,-54.43566249402688,0.1266,0.1059,0.1122,0.1272,0.1576,0.2648,0.3176,0.2908,0.0422,0.0015,0.3254,0.2129,0.3427
-23.191733322614937,-54.43934722220344,0.1245,0.1013,0.1074,0.1101,0.1591,0.2529,0.3012,0.293,0.0414,0.0015,0.3056,0.1987,0.3213
-23.191733322614937,-54.4392573507845,0.1248,0.1016,0.1033,0.1131,0.1538,0.2449,0.295,0.2643,0.0414,0.0015,0.3074,0.1985,0.3209
-23.191733322614937,-54.43916747936556,0.1249,0.1021,0.1046,0.1113,0.1491,0.2391,0.2907,0.2739,0.0414,0.0016,0.309,0.1977,0.322
-23.191733322614937,-54.439077607946615,0.125,0.102,0.1076,0.1107,0.1484,0.2409,0.2921,0.2886,0.0414,0.0016,0.3102,0.1972,0.3245
-23.191733322614937,-54.43898773652768,0.1251,0.1018,0.1083,0.117,0.1489,0.2446,0.2952,0.2759,0.0415,0.0016,0.3114,0.197,0.3269
-23.191733322614937,-54.438897865108736,0.1251,0.1025,0.1085,0.1194,0.1486,0.2468,0.2974,0.2725,0.0416,0.0016,0.312,0.1976,0.3271
-23.191733322614937,-54.4388079936898,0.1251,0.1063,0.1104,0.1219,0.1491,0.2489,0.2994,0.2865,0.0417,0.0016,0.3131,0.1993,0.3264
-23.191733322614937,-54.438448508014034,0.1245,0.105,0.1073,0.1258,0.1494,0.2486,0.3009,0.2706,0.0425,0.0015,0.3229,0.2023,0.3314
-23.191733322614937,-54.43835863659509,0.1243,0.1036,0.1068,0.1165,0.1402,0.2519,0.3081,0.2682,0.0427,0.0015,0.3157,0.1924,0.3382
-23.191733322614937,-54.43826876517616,0.1241,0.1017,0.1045,0.1069,0.1307,0.265,0.326,0.2877,0.043,0.0015,0.3044,0.1809,0.3481
-23.191733322614937,-54.43817889375721,0.1238,0.0962,0.0992,0.0854,0.1252,0.2734,0.3379,0.3182,0.0433,0.0015,0.2975,0.172,0.3579
-23.191733322614937,-54.43808902233828,0.1236,0.0952,0.0978,0.081,0.1258,0.2724,0.3378,0.332,0.0436,0.0014,0.298,0.1667,0.3681
-23.191733322614937,-54.43799915091933,0.1233,0.0979,0.1002,0.0915,0.1273,0.2703,0.3355,0.3123,0.0439,0.0014,0.3001,0.1649,0.3733
-23.191733322614937,-54.43790927950039,0.1231,0.0988,0.1,0.0948,0.1271,0.2716,0.3356,0.2986,0.0441,0.0014,0.302,0.1684,0.3685
-23.191733322614937,-54.43781940808145,0.1229,0.0971,0.0976,0.0892,0.127,0.2727,0.3355,0.3076,0.0442,0.0013,0.3035,0.1728,0.3615
-23.191733322614937,-54.43772953666251,0.1227,0.0974,0.0991,0.0882,0.128,0.2704,0.3327,0.3131,0.0442,0.0013,0.3036,0.1733,0.3593
